eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2,focus_max_a1,num_focus_points,eir_mean_P_D,eir_mean_P_FA,eir_mean_C_H1,eir_mean_delay,tr_mean_P_D,tr_mean_P_FA,tr_mean_C_H1,tr_mean_delay,rr_mean_P_D,rr_mean_P_FA,rr_mean_C_H1,rr_mean_delay,delta_P_D_vs_TR,delta_C_H1_vs_TR,delta_delay_vs_TR,delta_P_D_vs_RR,delta_C_H1_vs_RR,delta_delay_vs_RR,traffic_penalty_vs_TR,delay_penalty_vs_TR,target_P_FA,pfa_abs_deviation,soft_rank
0.86,0.04,0.01,0.75,0.1,3,0.7511111111111112,0.09333333333333334,13209.111111111111,176.71332702264672,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.21333333333333337,606.0,-13.884032223366262,0.07333333333333347,281.55555555555657,-0.07550073128169288,606.0,0.0,0.05,0.043333333333333335,11
0.86,0.03,0.01,0.75,0.1,3,0.7511111111111112,0.10000000000000002,13220.444444444443,176.495844412891,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.21333333333333337,617.3333333333321,-14.101514833121996,0.07333333333333347,292.8888888888887,-0.2929833410374272,617.3333333333321,0.0,0.05,0.05000000000000002,12
0.86,0.04,0.03,0.75,0.1,3,0.7488888888888888,0.08,13201.555555555557,178.6673813860699,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.21111111111111103,598.4444444444453,-11.92997785994308,0.07111111111111112,274.0000000000018,1.8785536321414895,598.4444444444453,0.0,0.05,0.03,13
0.86,0.04,0.02,0.75,0.1,3,0.7488888888888888,0.08666666666666667,13204.666666666666,177.39366814120913,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.21111111111111103,601.5555555555547,-13.203691104803852,0.07111111111111112,277.1111111111113,0.6048403872807171,601.5555555555547,0.0,0.05,0.03666666666666667,14
0.86,0.03,0.03,0.75,0.1,3,0.7488888888888888,0.08666666666666667,13221.11111111111,178.49350680891666,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.21111111111111103,617.9999999999982,-12.103852437096322,0.07111111111111112,293.55555555555475,1.7046790549882473,617.9999999999982,0.0,0.05,0.03666666666666667,15
0.86,0.03,0.02,0.75,0.1,3,0.7488888888888888,0.09333333333333334,13220.0,177.22028449995662,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.21111111111111103,616.8888888888887,-13.377074746056365,0.07111111111111112,292.44444444444525,0.4314567460282035,616.8888888888887,0.0,0.05,0.043333333333333335,16
0.84,0.02,0.02,0.9,0.1,3,0.7466666666666667,0.07333333333333333,13124.444444444445,177.91784123563218,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.2088888888888889,521.3333333333339,-12.679518010380804,0.068888888888889,196.8888888888905,1.1290134817037654,521.3333333333339,0.0,0.05,0.02333333333333333,17
0.84,0.02,0.03,0.9,0.1,3,0.7444444444444445,0.07333333333333333,13153.777777777776,179.05352339181286,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.20666666666666667,550.6666666666642,-11.543835854200125,0.06666666666666676,226.2222222222208,2.2646956378844436,550.6666666666642,0.0,0.05,0.02333333333333333,18
0.86,0.02,0.01,0.9,0.1,3,0.7444444444444445,0.10000000000000002,13125.77777777778,175.099449981543,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.20666666666666667,522.6666666666679,-15.497909264469996,0.06666666666666676,198.22222222222445,-1.689377772385427,522.6666666666679,0.0,0.05,0.05000000000000002,19
0.86,0.04,0.01,0.9,0.1,3,0.7422222222222222,0.09333333333333334,13143.111111111111,176.68313988095238,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.20444444444444443,540.0,-13.914219365060603,0.06444444444444453,215.55555555555657,-0.10568787297603421,540.0,0.0,0.05,0.043333333333333335,20
