strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,max_gateway_evidence,transmissions,gateway_threshold,a1,a2,sweep_scope,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,118,7499139004400980353,gateway_calibration,sweep:anomaly_pair:shared_scenarios,665.413024594491,128,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,119,426229976672197883,gateway_calibration,sweep:anomaly_pair:shared_scenarios,782.1006812156315,125,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,120,246508369912879822,gateway_calibration,sweep:anomaly_pair:shared_scenarios,719.6034295671446,147,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,121,2652398091327796019,gateway_calibration,sweep:anomaly_pair:shared_scenarios,479.04725014467533,113,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,122,5503532496059794744,gateway_calibration,sweep:anomaly_pair:shared_scenarios,579.1674728756744,114,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,123,8329007375693140607,gateway_calibration,sweep:anomaly_pair:shared_scenarios,674.8083900004222,139,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,124,4366984316536531468,gateway_calibration,sweep:anomaly_pair:shared_scenarios,622.2447147162001,133,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,125,6198917521197951328,gateway_calibration,sweep:anomaly_pair:shared_scenarios,740.7867219955333,148,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,126,3901305802510177060,gateway_calibration,sweep:anomaly_pair:shared_scenarios,554.5797780323081,118,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,127,3651935198066528014,gateway_calibration,sweep:anomaly_pair:shared_scenarios,541.7456037743299,111,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,128,3665222385996101800,gateway_calibration,sweep:anomaly_pair:shared_scenarios,662.7336737047076,130,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,129,3695450124233607618,gateway_calibration,sweep:anomaly_pair:shared_scenarios,645.1310978913707,123,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,130,4507573490889405567,gateway_calibration,sweep:anomaly_pair:shared_scenarios,680.1459603363797,113,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,131,6622006059011695217,gateway_calibration,sweep:anomaly_pair:shared_scenarios,684.2967687237801,130,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,132,1072149559379176970,gateway_calibration,sweep:anomaly_pair:shared_scenarios,555.3861055875269,108,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,133,2236710786858836466,gateway_calibration,sweep:anomaly_pair:shared_scenarios,626.6763774123831,111,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,134,4061241335305450115,gateway_calibration,sweep:anomaly_pair:shared_scenarios,619.2091513335353,123,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,135,4458267631564501530,gateway_calibration,sweep:anomaly_pair:shared_scenarios,607.7081964161458,121,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,136,4602541395243770802,gateway_calibration,sweep:anomaly_pair:shared_scenarios,466.65790672723693,116,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,137,8154260143710516340,gateway_calibration,sweep:anomaly_pair:shared_scenarios,502.0011191115061,116,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,138,7114745814847013655,gateway_calibration,sweep:anomaly_pair:shared_scenarios,643.3783065397137,125,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,139,7504069718206669675,gateway_calibration,sweep:anomaly_pair:shared_scenarios,569.6716531317767,112,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,140,2484320023919988263,gateway_calibration,sweep:anomaly_pair:shared_scenarios,600.9040790918078,134,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,141,5967893154890299710,gateway_calibration,sweep:anomaly_pair:shared_scenarios,714.8782153792818,132,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,142,8551485174213736670,gateway_calibration,sweep:anomaly_pair:shared_scenarios,582.5702740262818,121,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
