eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2,focus_max_a1,num_focus_points,eir_mean_P_D,eir_mean_P_FA,eir_mean_C_H1,eir_mean_delay,tr_mean_P_D,tr_mean_P_FA,tr_mean_C_H1,tr_mean_delay,rr_mean_P_D,rr_mean_P_FA,rr_mean_C_H1,rr_mean_delay,delta_P_D_vs_TR,delta_C_H1_vs_TR,delta_delay_vs_TR,delta_P_D_vs_RR,delta_C_H1_vs_RR,delta_delay_vs_RR,traffic_penalty_vs_TR,delay_penalty_vs_TR,target_P_FA,pfa_abs_deviation,soft_rank,pfa_tolerance,pfa_feasible,detection_gain_vs_both,relative_C_H1_vs_RR,max_relative_traffic_overhead_vs_RR,traffic_competitive_vs_RR,robust_success,robust_rank
0.86,0.04,0.01,0.75,0.1,3,0.7511111111111112,0.0933333333333333,13209.111111111111,176.71332702264672,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2133333333333333,606.0,-13.884032223366262,0.0733333333333334,281.55555555555657,-0.0755007312816928,606.0,0.0,0.05,0.0433333333333333,11,0.03,False,True,0.021779489118850304,0.05,True,False,41
0.86,0.03,0.01,0.75,0.1,3,0.7511111111111112,0.1,13220.444444444443,176.495844412891,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2133333333333333,617.3333333333321,-14.101514833121996,0.0733333333333334,292.8888888888887,-0.2929833410374272,617.3333333333321,0.0,0.05,0.05,12,0.03,False,True,0.022656169422766048,0.05,True,False,42
0.86,0.04,0.02,0.75,0.1,3,0.7488888888888888,0.0866666666666666,13204.666666666666,177.39366814120913,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.211111111111111,601.5555555555547,-13.203691104803852,0.0711111111111111,277.1111111111113,0.6048403872807171,601.5555555555547,0.0,0.05,0.0366666666666666,14,0.03,False,True,0.02143569292123626,0.05,True,False,43
0.86,0.03,0.03,0.75,0.1,3,0.7488888888888888,0.0866666666666666,13221.11111111111,178.49350680891666,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.211111111111111,617.9999999999982,-12.103852437096322,0.0711111111111111,293.55555555555475,1.7046790549882471,617.9999999999982,0.0,0.05,0.0366666666666666,15,0.03,False,True,0.022707738852408177,0.05,True,False,44
0.86,0.03,0.02,0.75,0.1,3,0.7488888888888888,0.0933333333333333,13220.0,177.22028449995662,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.211111111111111,616.8888888888887,-13.377074746056364,0.0711111111111111,292.44444444444525,0.4314567460282035,616.8888888888887,0.0,0.05,0.0433333333333333,16,0.03,False,True,0.022621789803004777,0.05,True,False,45
0.86,0.02,0.01,0.9,0.1,3,0.7444444444444445,0.1,13125.77777777778,175.099449981543,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2066666666666666,522.6666666666679,-15.497909264469996,0.0666666666666667,198.22222222222445,-1.689377772385427,522.6666666666679,0.0,0.05,0.05,19,0.03,False,True,0.015333310413586876,0.05,True,False,46
0.86,0.04,0.01,0.9,0.1,3,0.7422222222222222,0.0933333333333333,13143.111111111111,176.68313988095238,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2044444444444444,540.0,-13.914219365060603,0.0644444444444445,215.55555555555657,-0.1056878729760342,540.0,0.0,0.05,0.0433333333333333,20,0.03,False,True,0.016674115584281557,0.05,True,False,47
0.86,0.03,0.01,0.9,0.1,3,0.7422222222222222,0.1,13142.444444444443,176.23276289682542,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2044444444444444,539.3333333333321,-14.364596349187565,0.0644444444444445,214.8888888888887,-0.5560648571029958,539.3333333333321,0.0,0.05,0.05,21,0.03,False,True,0.016622546154639428,0.05,True,False,48
0.86,0.02,0.03,0.9,0.1,3,0.7377777777777778,0.0933333333333333,13161.333333333334,176.58994708994712,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1999999999999999,558.2222222222226,-14.007412156065868,0.06,233.7777777777792,-0.1988806639812992,558.2222222222226,0.0,0.05,0.0433333333333333,24,0.03,False,True,0.018083679994499224,0.05,True,False,49
0.86,0.03,0.03,0.9,0.1,3,0.7377777777777778,0.0933333333333333,13167.555555555557,177.8626984126984,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1999999999999999,564.4444444444434,-12.734660833314592,0.06,240.0,1.073870658769977,564.4444444444434,0.0,0.05,0.0433333333333333,25,0.03,False,True,0.01856499467115902,0.05,True,False,50
