strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,gateway_threshold,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence,a1,a2,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,99,90915395630955618,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,118,507.8127491761588,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,100,6645654657196752744,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,624.9073418337797,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,101,2203741437911058756,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,124,683.1386797195388,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,102,4980497102828505125,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,144,759.1790450553201,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,103,1115713432009853186,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,117,610.826222714627,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,104,6425847817725706659,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,122,677.1070590125563,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,105,2031634713743668263,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,127,596.7211390494023,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,106,9070903978219037910,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,142,704.2964525052812,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,107,8712498615403395006,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,129,729.9958764778378,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,108,580827552918756433,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,103,518.3455771352234,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,109,3042518978970265296,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,105,568.9119210927747,0.03,0.012,0.84,0.02,0.01,0.75
