strategy,state_h1,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence
RR,1,0,0,inf,inf,6,6.751331371024312
RR,1,0,0,inf,inf,86,16.970952588090046
RR,1,0,0,inf,inf,54,11.63821430659184
RR,1,0,0,inf,inf,67,14.629991832627068
RR,1,0,0,inf,inf,54,9.582197478141278
RR,1,0,0,inf,inf,31,11.214030814587883
RR,1,0,0,inf,inf,37,10.392106140318624
RR,1,0,0,inf,inf,68,15.902483222355198
RR,1,1,0,114.0,114.0,22,24.467787581035928
RR,1,0,0,inf,inf,62,12.986382543227544
RR,1,0,0,inf,inf,68,13.450648005990763
RR,1,0,0,inf,inf,68,12.350471871508034
RR,1,0,0,inf,inf,59,12.450392246469077
RR,1,0,0,inf,inf,57,12.561255830940883
RR,1,0,0,inf,inf,57,11.759934257320058
RR,1,0,0,inf,inf,26,12.081428353135404
RR,1,0,0,inf,inf,64,11.06703035298525
RR,1,0,0,inf,inf,67,14.273461492282026
RR,1,0,0,inf,inf,18,4.869812804167019
RR,1,0,1,inf,12.0,75,19.446567815000243
RR,1,0,1,inf,6.0,54,23.933075931440488
RR,1,0,0,inf,inf,14,8.704773801023912
RR,1,1,1,164.0,9.0,48,21.506505096760865
RR,1,1,0,197.0,197.0,72,18.782890934267893
RR,1,0,0,inf,inf,58,14.230367894677237
RR,1,0,0,inf,inf,64,14.995624112445418
RR,1,0,0,inf,inf,58,16.93682385239111
RR,1,0,0,inf,inf,49,11.799493876165865
RR,1,0,0,inf,inf,41,15.39734459713985
RR,1,0,0,inf,inf,45,11.81141758624883
RR,1,1,0,163.0,163.0,58,20.92178715704242
RR,1,0,0,inf,inf,69,12.171172277951179
RR,1,0,0,inf,inf,16,17.046611558863678
RR,1,0,0,inf,inf,16,8.816303056270705
RR,1,0,0,inf,inf,64,11.685055267409115
RR,1,0,0,inf,inf,15,5.9715668895728555
RR,1,0,0,inf,inf,50,11.311689671934623
RR,1,0,0,inf,inf,57,11.87645094396201
RR,1,1,0,120.0,120.0,26,22.130543137538
RR,1,0,0,inf,inf,39,8.92222788010111
RR,1,0,0,inf,inf,56,11.833229224981384
RR,1,0,0,inf,inf,50,9.727889690922355
RR,1,0,0,inf,inf,35,9.249386505758048
RR,1,0,0,inf,inf,16,6.256240831673926
RR,1,0,0,inf,inf,56,11.814253686988666
RR,1,0,0,inf,inf,56,11.600094362842679
RR,1,0,0,inf,inf,21,7.4179213074603405
RR,1,0,0,inf,inf,46,8.387645697801359
RR,1,0,0,inf,inf,33,9.651603556807345
RR,1,0,0,inf,inf,76,14.505166954841723
RR,1,0,0,inf,inf,37,10.30978830089741
RR,1,0,0,inf,inf,78,13.262643636142958
RR,1,0,0,inf,inf,73,13.03620480203076
RR,1,0,0,inf,inf,55,13.440008397951768
RR,1,1,0,191.0,191.0,64,18.59422681346032
RR,1,0,0,inf,inf,31,8.72856690422324
RR,1,0,0,inf,inf,87,15.71151970822774
RR,1,0,0,inf,inf,67,13.519368016895767
RR,1,1,0,146.0,146.0,19,18.842187055713573
RR,1,1,0,146.0,146.0,24,17.504893037594638
RR,1,0,0,inf,inf,25,7.713969058071882
RR,1,0,1,inf,13.0,67,17.728388907296754
RR,1,0,0,inf,inf,50,11.930660021710768
RR,1,0,0,inf,inf,67,13.193014415960757
RR,1,0,0,inf,inf,11,8.077305228209738
RR,1,0,0,inf,inf,54,14.223930023095779
RR,1,0,0,inf,inf,39,8.735815049827874
RR,1,0,0,inf,inf,80,15.11107915820034
RR,1,0,0,inf,inf,45,9.657674922901537
RR,1,0,0,inf,inf,58,11.620213589556442
RR,1,0,0,inf,inf,51,12.96211527629507
RR,1,0,0,inf,inf,83,15.633885653734009
RR,1,0,0,inf,inf,26,8.383200692722108
RR,1,0,0,inf,inf,45,9.267669323060476
RR,1,0,0,inf,inf,51,12.050237025738104
RR,1,0,0,inf,inf,20,7.987140257600178
RR,1,0,0,inf,inf,64,12.202628928243119
RR,1,0,1,inf,14.0,37,17.145568291172896
RR,1,0,0,inf,inf,27,8.32751072657131
RR,1,0,0,inf,inf,54,8.837574744812631
RR,1,0,0,inf,inf,31,7.872051753929406
RR,1,0,0,inf,inf,78,16.279255684836368
RR,1,0,0,inf,inf,30,11.389263892325348
RR,1,1,0,193.0,193.0,61,17.8893194321006
RR,1,0,0,inf,inf,51,10.554136606665248
RR,1,0,0,inf,inf,63,14.159598858985802
RR,1,0,1,inf,10.0,35,20.8984549593363
RR,1,0,0,inf,inf,60,12.852573243774653
RR,1,0,0,inf,inf,62,11.331215248376962
RR,1,0,0,inf,inf,80,13.366142598006615
RR,1,0,0,inf,inf,59,12.700860340962834
RR,1,0,0,inf,inf,60,13.594789955581799
RR,1,0,0,inf,inf,63,14.111307967302956
RR,1,0,0,inf,inf,84,15.0029596563012
RR,1,0,1,inf,10.0,10,21.014435959170193
RR,1,0,0,inf,inf,79,13.077685536934624
RR,1,0,0,inf,inf,36,7.399961543291147
RR,1,0,0,inf,inf,83,15.296117210093662
RR,1,0,0,inf,inf,51,10.17942130978959
RR,1,0,0,inf,inf,52,10.736820917376022
RR,1,0,0,inf,inf,54,11.263225179008808
RR,1,0,0,inf,inf,66,15.268561067055721
RR,1,0,0,inf,inf,34,7.744394448600037
RR,1,0,0,inf,inf,43,9.2069216587368
RR,1,0,0,inf,inf,65,12.628584357424213
RR,1,0,0,inf,inf,71,13.408664067931722
RR,1,0,0,inf,inf,51,15.10787077546421
RR,1,0,0,inf,inf,72,12.910045397131103
RR,1,0,0,inf,inf,71,15.639769442472202
RR,1,0,1,inf,4.0,49,26.736071926241518
RR,1,0,0,inf,inf,48,10.002701465436923
RR,1,0,0,inf,inf,86,16.91672886591385
RR,1,1,0,94.0,94.0,23,19.27129814959256
RR,1,1,0,201.0,201.0,47,18.769362409646693
RR,1,1,0,153.0,153.0,25,17.71061324837535
RR,1,1,0,177.0,177.0,40,20.161298851057566
RR,1,0,1,inf,11.0,83,20.118069303480606
RR,1,0,0,inf,inf,40,8.812931881441898
RR,1,0,1,inf,10.0,66,20.795704739424274
RR,1,0,0,inf,inf,52,11.961960863736966
RR,1,0,0,inf,inf,33,7.830042633278978
RR,1,0,0,inf,inf,38,9.095678249051607
RR,1,0,0,inf,inf,20,7.0523764113651755
RR,1,0,0,inf,inf,58,11.573083494027275
RR,1,0,0,inf,inf,77,15.798574355548443
RR,1,0,0,inf,inf,58,15.248573988382631
RR,1,0,0,inf,inf,72,11.4547946008381
RR,1,0,0,inf,inf,83,16.66268880601403
RR,1,0,0,inf,inf,29,8.687457790730686
RR,1,0,0,inf,inf,51,13.76904536248274
RR,1,0,0,inf,inf,54,10.967740855815844
RR,1,0,0,inf,inf,74,13.613078845172325
RR,1,0,0,inf,inf,76,13.44912324902788
RR,1,0,0,inf,inf,83,13.44068112042848
RR,1,0,0,inf,inf,41,11.836158853374101
RR,1,0,0,inf,inf,46,14.433471188994869
RR,1,0,0,inf,inf,39,10.665230833236306
RR,1,0,0,inf,inf,80,15.415914429466621
RR,1,0,0,inf,inf,57,12.492249708299257
RR,1,0,0,inf,inf,65,12.241905404852
RR,1,0,0,inf,inf,50,14.171499035354584
RR,1,0,0,inf,inf,50,11.436241201419957
RR,1,0,0,inf,inf,86,16.307350699242665
RR,1,0,0,inf,inf,69,13.586445751996951
RR,1,0,0,inf,inf,63,13.170649804315397
RR,1,0,0,inf,inf,56,14.49974001214034
RR,1,1,0,156.0,156.0,37,19.80999382128914
RR,1,0,0,inf,inf,21,8.080329413905433
RR,1,0,0,inf,inf,60,10.847008255271495
RR,1,0,0,inf,inf,20,6.606653389406815
RR,1,0,1,inf,5.0,44,25.616989806003748
RR,1,0,0,inf,inf,82,12.889544018503873
RR,1,0,0,inf,inf,101,16.662326455737237
RR,1,0,0,inf,inf,38,12.61020816117276
RR,1,0,0,inf,inf,23,7.17184246412908
RR,1,0,0,inf,inf,24,7.165917806113949
RR,1,0,0,inf,inf,53,13.578012971852537
RR,1,0,0,inf,inf,59,13.639770977502947
RR,1,0,0,inf,inf,62,12.528352841404537
RR,1,0,0,inf,inf,75,16.417030864187126
RR,1,0,0,inf,inf,34,9.455249899958925
RR,1,0,0,inf,inf,38,8.255760893678126
RR,1,0,0,inf,inf,38,7.364796919923139
RR,1,0,0,inf,inf,39,11.984887874512774
RR,1,0,0,inf,inf,74,15.654489462969233
RR,1,0,0,inf,inf,61,13.149626585677222
RR,1,1,0,296.0,296.0,100,17.240417101884827
RR,1,0,0,inf,inf,28,10.228019895515702
RR,1,0,0,inf,inf,41,8.50545427184391
RR,1,0,0,inf,inf,71,14.475860945634448
RR,1,0,0,inf,inf,67,16.36277740124202
